Name,Python,SQL,Azure,Machine_Learning,Docker,Kubernetes,PowerBI,Excel,Java,JavaScript,Git,REST_API,Scrum,Linux,Terraform,Spark,TensorFlow,Data_Analysis,CI_CD,Cloud_Architecture,Azure_DevOps,Microsoft_Fabric,Copilot_Studio,Power_Automate,Power_Apps,Microsoft_365,Azure_AI_Services,Dynamics_365,Azure_Data_Factory,Bicep_ARM,Hired
Qian_2,1,4,4,3,0,4,3,4,0,1,2,3,3,2,2,3,1,3,2,4,0,4,1,3,3,0,4,0,1,4,1
Rita_2,4,1,3,3,2,3,0,1,3,4,1,3,0,2,2,1,0,0,0,3,2,0,4,3,4,4,1,3,4,3,1
Sam_2,0,1,2,4,1,1,1,1,0,3,2,2,3,2,1,0,1,1,0,4,2,0,3,3,3,4,0,4,3,1,1
Tina_2,1,4,3,3,3,3,0,4,4,0,1,4,2,4,4,1,0,1,1,0,2,0,1,0,4,4,2,2,0,0,1
Ulrich_2,0,3,1,1,2,4,4,4,4,1,3,4,2,0,0,2,2,2,3,0,3,4,0,2,3,1,0,2,2,4,0
Vika_2,3,4,1,1,4,0,0,4,4,0,3,4,2,3,4,2,2,4,4,4,2,1,4,4,3,4,3,3,1,4,0
Werner_2,1,2,1,0,0,0,3,0,1,4,3,3,0,2,2,4,1,0,1,2,2,0,2,2,4,4,2,0,0,2,0
Xin_2,2,3,4,4,0,1,1,2,2,3,3,0,1,3,1,3,4,2,3,3,0,4,2,4,2,4,4,0,1,4,1
Lena_2,2,2,0,1,2,0,2,3,4,1,4,4,3,1,4,0,2,2,0,2,3,0,3,1,2,3,2,1,4,2,0
Marc_2,1,0,2,0,1,0,3,4,0,3,4,1,1,2,3,4,2,2,1,0,4,1,1,0,3,3,4,0,0,2,1
Nina_2,0,4,0,2,3,0,0,4,2,0,4,2,1,2,1,1,2,2,4,2,3,0,2,1,1,2,0,0,4,4,0
Otto_2,4,0,1,4,2,4,2,2,1,2,4,1,1,0,2,4,2,4,3,0,1,0,3,0,0,3,0,0,3,3,0
Petra_2,1,4,4,3,4,2,2,2,1,4,0,3,4,1,0,3,0,3,2,3,3,1,1,1,4,2,2,3,1,2,1
Ralf_2,2,3,3,0,0,3,0,2,3,3,1,2,2,4,4,1,4,0,3,0,2,4,0,2,4,3,3,4,3,1,1
Silke_2,4,1,4,1,3,3,0,2,1,4,3,3,4,2,4,1,1,0,4,3,0,4,4,3,2,4,0,3,1,2,1
Tobias_2,3,0,4,0,4,3,2,3,0,0,1,1,4,0,1,1,3,4,2,3,4,4,3,1,1,2,2,4,2,3,1
Ursula_2,2,0,4,0,4,4,3,1,2,0,2,4,0,0,4,2,0,2,0,1,3,4,3,2,3,3,3,3,4,1,1
Viktor_2,1,3,1,1,4,3,2,3,1,2,1,1,0,0,0,1,3,3,1,0,1,3,3,4,3,4,1,3,4,3,0
Wendy_2,4,3,3,2,1,1,3,4,0,4,3,1,4,2,3,4,4,2,0,0,4,3,2,0,4,3,0,1,4,2,1
Axel_2,3,4,0,4,4,0,1,3,0,4,4,2,4,0,2,4,0,3,3,4,3,4,2,3,2,2,2,1,0,4,0
Bettina_2,2,4,2,0,3,4,1,4,0,2,4,0,2,3,0,1,4,0,2,2,1,4,2,2,2,0,0,4,1,4,1
Christoph_2,1,3,2,1,2,1,3,1,4,0,2,0,1,4,1,3,3,3,1,3,1,1,4,2,0,2,0,0,1,3,1
Dana_2,3,3,2,3,4,1,3,3,3,2,1,4,3,0,2,3,3,2,4,0,0,4,2,3,4,2,2,2,2,0,1
Erika_2,2,4,3,3,1,4,1,4,2,1,2,4,0,0,0,0,3,0,4,0,3,2,1,2,2,1,0,0,4,0,1
Franz_2,0,4,1,4,0,0,0,4,1,3,4,1,0,1,2,2,3,0,3,2,3,2,2,1,0,2,0,3,3,2,0
Gudrun_2,0,2,2,1,3,0,3,1,4,3,1,3,0,1,4,3,1,4,0,3,2,0,0,0,0,4,2,3,0,3,1
Heinz_2,1,0,0,3,2,1,2,3,4,0,4,3,3,3,3,0,4,1,0,3,3,0,4,4,2,2,2,3,0,0,0
Irene_2,2,4,2,0,3,2,1,1,4,0,3,1,2,3,0,2,3,0,3,1,1,0,1,0,4,1,3,3,0,4,1
Jürgen_2,2,3,4,3,0,0,2,0,2,0,3,0,1,4,3,4,1,4,1,0,0,1,3,0,3,4,0,1,1,0,1
Klara_2,1,0,2,0,3,4,1,4,0,0,0,3,4,4,1,0,1,3,2,3,2,0,4,4,1,2,1,0,4,1,1
Lukas_2,2,0,0,2,1,3,1,2,4,1,3,1,4,0,1,0,4,3,1,0,3,0,0,0,1,0,4,2,3,3,0
Monika_2,1,1,1,2,4,3,3,1,1,4,0,4,1,3,4,0,2,2,3,0,4,1,1,0,4,0,4,2,4,4,0
Norbert_2,1,3,1,2,0,1,0,1,3,3,1,1,0,0,2,2,1,3,2,2,4,3,0,0,0,4,1,1,0,3,0
Petra_2,4,0,0,1,3,4,4,2,3,1,2,1,0,2,1,0,1,3,1,3,1,0,3,4,3,0,3,1,1,4,0
Rainer_2,3,1,3,2,1,3,1,2,2,1,2,1,0,4,0,2,1,0,3,3,3,1,2,1,2,4,1,4,1,4,1
Sandra_2,4,1,0,3,4,3,1,4,3,3,2,0,3,1,1,2,3,4,1,4,1,4,0,3,0,0,3,4,0,3,0
Thomas_2,4,3,3,0,3,3,1,0,4,0,3,1,1,2,2,1,0,0,3,2,1,3,4,4,0,3,3,1,3,1,1
Uschi_2,2,3,0,0,3,2,4,0,2,3,2,4,4,4,1,0,4,2,0,4,2,0,0,3,2,3,4,0,2,2,0
Valentin_2,1,4,0,4,1,1,2,1,4,0,3,4,1,1,2,2,2,4,3,2,0,0,2,2,3,3,4,4,0,3,0
Willi_2,4,4,2,3,4,2,0,1,3,0,0,3,1,2,0,0,1,2,0,1,3,1,1,4,0,2,3,4,1,3,1
Xaver_2,2,3,3,0,2,1,0,0,1,4,2,3,4,2,2,3,4,4,4,3,3,2,4,1,2,1,2,1,3,2,1
Yvonne_2,2,0,1,2,2,3,1,4,1,4,2,1,1,1,1,1,0,0,2,4,1,3,2,2,1,1,4,0,2,2,0
Zeno_2,1,2,3,4,1,4,2,0,0,3,3,1,3,2,1,0,4,4,2,2,3,2,4,1,4,3,2,0,3,0,1
Adil_2,1,4,0,2,0,3,4,1,3,2,0,2,0,4,1,4,4,1,2,1,0,0,4,3,0,4,3,1,3,2,0
Bianca_2,4,4,4,0,2,3,1,3,2,3,2,0,2,2,2,2,3,4,0,1,3,3,3,2,1,3,3,1,4,4,1
Cedric_2,0,1,1,2,3,4,2,0,4,3,0,0,3,2,3,1,4,3,4,1,1,1,3,2,4,3,0,2,4,2,0
Daria_2,3,4,3,1,0,0,1,2,2,3,0,2,3,1,3,1,0,0,2,3,0,4,2,4,3,4,3,2,3,0,1
Enrico_2,2,4,4,0,2,1,4,0,1,2,3,1,2,1,0,2,2,3,2,0,2,2,4,0,4,1,1,0,4,1,1
Fatima_2,4,2,2,2,2,2,0,4,4,2,1,0,1,4,2,2,3,3,2,1,0,1,1,4,1,1,4,4,4,4,1
Giorgio_2,4,0,3,3,0,0,1,0,3,2,2,2,1,3,4,4,2,1,2,0,0,1,1,1,1,2,1,1,1,0,1
Hana_2,3,0,0,0,3,3,0,1,0,0,4,4,0,3,0,2,0,0,2,0,0,0,4,1,4,1,1,2,0,0,0
Ibrahim_2,1,2,4,2,2,1,4,4,1,4,4,0,0,4,0,4,1,1,2,1,4,0,0,1,4,3,2,4,1,3,1
Jasmin_2,0,1,2,3,3,1,4,1,3,0,2,0,3,0,4,1,3,2,2,4,0,0,2,3,0,3,2,3,4,2,1
Kemal_2,3,1,4,3,2,3,1,0,3,2,1,0,3,0,3,3,4,0,0,1,3,3,4,0,1,0,2,1,2,1,1
Laila_2,4,3,0,1,3,3,2,4,4,2,3,2,3,4,3,3,4,2,1,3,0,0,2,3,3,1,1,0,0,0,0
Mehmet_2,0,3,0,1,3,4,2,1,2,4,4,0,0,4,3,3,1,2,3,3,4,2,4,2,4,4,0,0,3,0,0
Nadia_2,3,3,2,3,3,3,0,0,1,4,2,1,3,3,1,2,3,3,0,4,3,4,4,4,3,3,4,1,4,0,1
Omar_2,3,2,3,4,3,4,2,2,2,0,0,4,0,1,2,2,4,0,2,3,0,3,2,2,3,2,0,1,1,1,1
Priya_2,2,4,0,0,2,0,2,1,0,4,2,0,3,3,4,4,3,2,0,3,4,0,2,3,4,3,2,4,0,3,0
Reza_2,0,1,2,3,4,2,1,4,2,2,3,1,3,0,4,1,2,2,0,2,4,3,1,4,0,4,0,4,2,2,1
Sadia_2,0,4,4,3,3,1,2,0,2,4,2,3,4,2,1,3,3,2,4,4,3,4,1,0,4,1,4,3,1,3,1
Tarek_2,2,4,4,3,4,0,4,1,2,3,1,1,1,2,3,3,2,0,1,3,2,2,1,2,4,1,3,1,0,1,1
Uma_2,1,0,1,2,3,3,4,3,3,0,1,1,2,1,0,2,2,4,1,0,3,0,0,0,2,4,2,0,3,2,0
Vikram_2,0,3,1,1,0,4,4,0,4,4,4,2,3,0,1,4,0,2,2,4,3,1,3,1,1,0,1,1,2,3,0
Wafa_2,3,2,4,0,3,4,2,0,2,4,3,3,1,2,1,2,3,2,2,0,4,0,0,1,2,4,3,2,2,0,1
Xiao_2,4,1,3,3,0,3,2,2,0,1,2,1,1,3,2,3,0,2,0,3,3,3,2,3,0,1,2,4,0,2,1
Yusuf_2,3,4,4,2,3,0,0,1,3,1,0,3,1,2,2,4,0,0,1,1,4,1,4,3,2,3,3,1,2,1,1
Zara_2,4,2,2,1,0,3,2,1,3,3,4,1,0,0,4,4,1,0,3,1,2,1,0,3,4,3,4,2,1,0,1
Aleksei_2,2,1,4,0,0,4,3,3,3,0,1,1,1,2,2,3,3,1,3,1,4,1,2,1,3,1,3,1,0,2,1
Bogdan_2,2,1,4,3,1,2,4,3,0,0,3,1,2,3,1,3,3,4,2,0,0,4,0,0,2,1,3,2,4,4,1
Csaba_2,0,0,2,4,4,3,2,3,2,1,4,0,4,1,2,1,4,3,2,3,1,0,2,4,3,1,2,0,2,0,1
Dragana_2,1,3,2,2,3,2,2,4,2,4,2,3,1,2,3,1,4,3,0,1,1,0,1,1,0,3,2,1,3,3,1
Eszter_2,0,3,0,3,2,4,3,3,3,0,1,0,2,0,1,2,1,1,4,2,4,4,1,4,0,4,4,1,3,0,0
Florin_2,1,3,0,2,0,2,0,3,2,4,0,2,1,0,0,3,3,3,2,4,0,2,0,4,3,2,4,1,1,0,0
Galina_2,2,2,0,0,4,4,3,0,3,2,1,1,3,0,0,1,1,3,3,2,1,0,2,3,3,2,4,1,2,0,0
Horia_2,2,4,1,3,3,3,3,2,4,4,3,0,3,2,4,1,3,3,0,0,4,2,3,1,1,3,4,4,0,2,0
Ioana_2,3,3,0,3,2,1,1,2,1,4,3,2,4,0,4,0,0,4,0,4,3,3,0,3,4,2,2,2,4,0,0
Jovan_2,4,0,0,3,1,1,3,0,0,3,2,2,4,3,3,4,2,2,1,1,1,0,4,2,0,3,4,0,0,3,0
Kristina_2,0,0,1,3,3,3,4,3,2,4,4,2,3,2,0,1,1,0,1,0,0,1,0,1,3,1,1,3,4,1,0
Luca_2,0,2,3,1,3,3,0,0,1,1,3,3,3,0,3,4,1,1,2,4,3,0,2,0,0,3,3,3,4,4,1
Mirela_2,4,2,0,3,3,3,4,4,4,3,1,0,4,0,3,4,2,4,0,2,3,3,0,3,4,2,3,3,0,1,0
Nikos_2,2,1,3,2,3,1,4,1,4,2,4,3,1,2,3,3,2,3,1,4,1,2,0,3,1,1,1,1,4,3,1
Oana_2,0,3,3,2,1,1,4,0,0,2,2,2,1,1,4,0,0,2,3,0,4,1,0,4,1,3,2,2,2,0,1
Piotr_2,4,2,1,4,4,0,0,3,3,0,0,4,4,0,4,0,4,0,1,0,1,2,1,2,3,4,3,0,1,2,0
Renata_2,2,1,0,1,3,3,0,1,3,2,2,4,1,0,2,2,3,2,1,1,4,3,1,1,3,3,3,3,4,2,0
Sven_2,0,3,1,0,4,0,0,2,2,3,1,3,0,3,0,1,4,0,4,2,3,3,4,2,2,2,0,2,4,4,0
Tatiana_2,1,3,3,1,4,4,4,3,2,3,1,2,0,0,4,2,3,1,4,4,2,1,0,4,4,2,4,2,1,0,1
Ulrika_2,0,4,4,2,1,2,3,4,0,0,2,2,4,2,0,0,0,3,2,4,0,3,2,1,4,4,4,4,1,2,1
Valentina_2,2,2,4,1,3,4,1,0,2,4,4,1,2,3,0,1,3,3,0,0,0,3,1,3,1,3,0,2,4,3,1
Witold_2,4,4,4,3,2,4,3,3,3,3,3,1,1,4,1,3,3,1,4,4,0,1,3,3,0,1,4,2,0,4,1
Xiomara_2,3,0,0,2,4,2,0,4,1,0,2,2,2,2,2,3,0,1,1,4,3,0,2,2,1,1,3,0,0,4,0
Yannick_2,2,0,0,3,3,4,2,4,3,2,3,3,4,1,1,4,3,3,3,1,2,0,4,4,3,3,1,3,2,4,0
Zofia_2,0,3,2,0,1,0,4,2,4,0,4,0,1,4,4,4,0,4,4,1,3,4,0,0,4,1,0,2,1,1,1
Aiko_2,4,3,0,4,4,2,3,4,0,3,0,2,3,1,3,0,4,2,3,2,0,0,0,4,1,2,1,1,2,0,0
Bowen_2,1,2,3,1,0,4,2,1,0,0,2,3,0,2,1,3,2,2,3,0,0,1,1,4,4,1,3,4,4,3,1
Cheng_2,0,2,0,2,3,4,3,0,3,0,3,1,0,2,4,4,0,1,4,1,2,4,3,3,0,4,1,1,2,4,0
Daisuke_2,1,1,4,3,4,3,0,0,3,4,2,1,0,0,3,2,4,2,3,2,1,4,4,2,0,1,4,4,0,2,1
Emi_2,0,3,0,1,4,2,3,1,4,4,2,2,2,3,2,1,2,2,1,3,4,2,0,1,0,4,3,0,0,1,0
Fumiko_2,3,4,3,3,4,0,0,4,0,3,0,2,3,4,2,3,1,0,0,3,2,1,3,0,1,0,2,2,1,0,1
Guangwei_2,4,2,1,1,3,2,0,2,3,4,1,0,1,3,0,2,4,4,3,1,4,1,4,4,4,1,0,4,1,0,0
Hiroshi_2,1,2,4,1,4,2,1,0,4,4,2,4,3,0,3,0,2,3,3,2,0,4,3,3,2,4,0,1,0,2,1
Ingrid_2,3,4,3,2,0,3,1,2,0,4,0,1,3,0,1,1,1,2,2,0,0,0,3,3,0,4,2,2,1,0,1
Jing_2,3,1,2,0,2,4,1,0,4,4,3,0,3,4,0,0,0,0,3,2,0,1,0,3,0,2,4,3,0,0,1
Kofi_2,0,4,0,2,3,3,0,4,3,1,4,4,0,3,3,3,3,4,4,0,2,0,3,4,2,4,1,0,0,0,0
Linh_2,4,0,4,1,4,1,4,2,2,3,3,4,3,1,1,1,0,0,1,2,4,3,4,2,2,4,4,1,1,3,1
Makoto_2,2,4,2,2,2,0,4,4,1,0,1,4,4,0,3,2,1,1,1,0,2,1,3,3,4,2,4,4,2,4,1
Ngo_2,2,3,2,1,0,3,0,3,1,0,1,1,3,4,1,1,3,2,3,1,3,1,0,2,0,0,2,0,4,0,1
Pham_2,1,2,3,1,4,2,0,0,1,1,2,1,1,2,1,2,4,1,1,1,0,1,2,0,0,1,3,0,2,1,1
Rashida_2,2,3,1,2,2,1,4,4,3,0,0,1,1,1,1,4,3,2,2,4,3,1,0,4,4,1,4,2,1,2,0
Sipho_2,1,0,2,1,4,4,3,1,0,3,4,0,1,4,3,4,2,3,4,3,1,2,2,4,3,3,3,2,4,3,1
Thabo_2,4,0,1,1,1,3,1,3,1,2,3,3,4,1,2,2,4,0,1,0,2,3,4,2,1,4,0,3,4,4,0
Uchenna_2,2,3,3,3,3,3,2,3,2,2,3,0,1,3,1,2,0,2,0,2,4,4,4,0,2,1,0,0,0,2,1
Vuyani_2,0,4,1,2,1,2,2,2,2,1,4,1,4,2,0,2,2,2,3,3,4,0,3,4,1,3,1,1,1,3,0
Wanjiku_2,1,4,4,4,3,3,2,0,2,1,3,3,1,3,3,4,0,2,1,4,1,2,0,3,2,2,1,3,3,3,1
Xiulan_2,4,2,2,4,0,4,0,1,1,2,4,4,4,4,3,3,1,3,0,4,3,1,3,0,2,4,3,2,0,1,1
Yerlan_2,0,4,1,0,4,3,0,1,1,0,3,2,1,1,2,4,0,3,0,2,4,0,1,2,3,3,1,0,1,4,0
Zimasa_2,3,3,0,3,1,1,1,2,3,3,1,4,4,2,4,1,4,3,2,1,0,1,3,0,3,4,1,4,2,4,0
Abebe_2,3,3,3,4,0,0,2,3,2,2,3,4,1,3,1,1,4,3,3,3,1,4,0,3,0,1,1,2,4,2,1
Anna_3,0,1,3,3,4,0,2,0,0,4,2,3,3,1,2,1,4,0,3,0,0,3,3,2,3,1,3,0,0,2,1
Ben_3,0,1,2,3,3,3,0,0,4,1,3,1,3,2,1,1,0,4,0,1,2,0,4,3,1,0,0,2,1,3,1
Clara_3,2,1,1,0,4,1,3,0,4,0,3,2,3,0,4,0,0,3,1,1,2,1,1,0,0,3,0,0,2,1,0
David_3,0,1,0,1,1,0,3,4,0,2,2,4,1,4,1,4,3,3,0,1,1,0,2,2,1,0,3,2,0,3,0
Elena_3,1,3,1,0,2,4,2,0,0,1,3,2,4,3,0,4,4,1,2,0,4,2,3,1,2,1,2,3,0,2,0
Felix_3,0,4,4,3,3,4,1,4,4,0,1,0,4,0,2,1,3,1,4,0,0,1,2,3,2,1,1,3,1,0,1
Greta_3,1,4,3,2,1,2,2,0,4,3,2,0,1,2,2,1,1,4,0,1,1,4,3,4,2,1,3,0,0,3,1
Hans_3,0,1,0,1,1,1,0,1,4,4,1,1,4,0,3,3,2,1,1,1,3,1,4,1,2,2,4,3,1,2,0
Ines_3,3,0,2,3,3,1,3,3,3,4,4,3,1,3,0,3,3,0,2,4,4,1,4,1,2,3,3,2,3,2,1
Jonas_3,3,4,4,3,0,2,1,3,1,1,1,0,0,4,2,3,3,3,3,2,3,3,2,4,0,3,0,0,3,4,1
Katja_3,1,1,3,2,2,4,3,2,0,3,3,1,1,3,0,2,0,1,2,4,3,1,2,1,4,4,1,0,0,0,1
Leon_3,3,3,4,0,4,1,3,1,3,2,2,4,4,3,4,2,3,0,0,4,2,1,2,1,3,2,0,1,3,0,1
Maria_3,0,0,3,4,3,2,3,1,1,2,1,1,1,3,1,4,0,3,4,1,1,1,0,1,1,2,3,3,4,0,1
Noah_3,1,0,2,0,3,0,2,0,2,0,4,1,3,3,0,0,0,2,0,4,0,0,1,4,0,3,4,4,2,3,1
Olivia_3,3,2,4,3,2,2,2,2,1,2,3,3,4,0,2,2,0,0,3,3,1,0,4,0,4,2,1,2,3,4,1
Paul_3,3,4,3,1,0,2,0,2,0,2,3,1,4,3,3,4,0,2,3,3,0,3,2,4,1,1,4,4,4,0,1
Quinn_3,1,3,0,2,4,3,1,3,0,3,4,1,1,1,1,0,0,3,0,1,2,3,2,1,2,3,0,1,4,3,0
Rosa_3,0,2,1,4,4,0,2,3,3,4,3,1,1,2,0,2,0,0,0,2,4,1,0,4,2,1,2,3,4,0,0
Stefan_3,2,0,4,4,1,3,3,2,2,1,4,4,4,1,0,3,0,4,3,2,1,2,1,3,3,1,4,2,1,0,1
Tanja_3,4,2,2,4,0,2,4,3,1,3,2,3,0,2,1,1,1,0,1,3,3,2,1,0,4,3,2,3,3,2,1
Uwe_3,3,3,0,4,2,2,1,4,3,0,1,2,4,0,2,3,1,4,1,3,3,2,1,1,1,1,0,2,4,0,0
Vera_3,1,3,3,1,0,0,2,3,1,0,0,4,2,4,3,1,3,1,0,0,1,3,3,2,4,1,3,0,3,3,1
Walter_3,2,3,2,0,0,0,0,0,3,4,1,0,4,4,4,3,2,0,4,1,3,3,3,2,4,1,0,2,0,4,1
Xena_3,1,3,0,3,4,4,4,3,0,4,4,4,0,1,0,1,4,1,0,4,3,2,0,0,1,4,1,1,0,4,0
Yara_3,2,0,0,0,4,2,2,4,1,3,0,1,2,0,4,2,4,3,1,4,3,2,4,2,4,4,4,1,0,0,0
Zach_3,1,0,1,1,2,1,1,4,4,1,4,2,2,1,4,3,0,4,2,2,3,1,3,3,0,2,3,1,4,1,0
Anja_3,0,2,1,2,4,4,4,1,3,1,2,3,3,0,4,1,0,2,0,4,0,4,3,0,2,0,2,2,2,1,0
Bruno_3,1,2,0,0,3,1,3,0,0,1,4,2,4,3,0,4,2,4,2,4,2,4,0,0,1,2,3,1,2,4,0
Carla_3,4,4,3,3,4,1,2,0,4,1,1,1,3,4,2,0,2,1,4,3,3,1,3,2,3,4,2,2,3,4,1
Dirk_3,1,2,0,2,3,2,0,0,0,1,0,1,4,0,0,2,4,3,0,3,4,1,3,3,4,4,0,3,0,4,0
Emma_3,1,0,3,4,2,1,4,4,0,4,3,1,4,1,1,0,2,1,4,2,0,3,3,3,1,2,0,2,1,4,1
Finn_3,0,2,2,3,2,2,1,0,4,3,1,2,4,0,3,4,3,0,2,0,4,3,2,2,2,0,0,2,1,3,1
Gina_3,2,0,0,3,3,1,0,4,4,1,3,0,3,0,1,2,1,3,3,2,2,2,3,1,4,2,0,3,3,1,0
Horst_3,1,2,3,0,2,1,0,1,2,0,1,3,3,2,0,1,1,3,2,0,3,3,4,3,1,2,3,4,3,1,1
Ida_3,0,0,0,1,1,2,4,0,1,0,2,3,4,0,3,3,2,2,3,0,3,1,4,1,4,1,1,2,0,2,0
Jan_3,1,3,1,3,0,4,4,1,1,4,1,1,0,1,3,0,2,1,1,3,0,4,1,0,0,3,3,4,2,1,0
Kira_3,1,2,3,3,0,4,3,0,2,0,2,2,2,2,3,1,2,0,1,0,0,0,2,1,2,3,2,4,0,3,1
Lars_3,1,2,3,2,2,2,0,0,0,4,1,2,2,2,4,4,4,2,1,2,1,4,3,0,0,1,4,0,0,4,1
Mia_3,1,1,3,0,0,4,4,2,2,3,1,4,1,0,1,1,3,4,2,4,2,2,3,0,3,0,3,3,4,4,1
Nico_3,0,1,4,2,1,2,0,4,0,1,3,3,4,4,0,1,3,4,3,4,3,3,4,2,1,1,0,1,4,1,1
Olga_3,4,0,4,3,4,4,2,2,1,2,2,4,0,1,1,0,4,1,2,0,1,2,1,2,0,1,1,4,0,0,1
Peter_3,2,4,2,2,0,4,2,1,3,4,2,2,0,0,2,1,2,1,2,0,4,4,0,3,2,4,4,1,3,1,1
Qian_3,2,2,1,4,3,1,3,1,3,2,1,3,0,3,1,3,1,1,1,4,3,1,2,0,2,1,1,3,4,1,0
Rita_3,0,1,0,3,1,3,3,0,4,1,0,4,0,3,3,0,0,0,0,1,1,0,2,1,4,0,0,0,4,2,0
Sam_3,0,1,1,3,4,3,1,2,2,3,1,1,0,4,2,4,0,0,0,0,4,2,0,4,3,1,0,1,0,1,0
Tina_3,3,3,1,2,2,1,3,0,3,1,0,1,0,2,2,0,4,2,0,2,0,0,4,1,1,3,4,2,4,1,0
Ulrich_3,3,1,2,4,2,2,0,2,3,2,2,0,0,1,1,2,1,3,3,3,0,0,4,3,2,1,0,2,1,1,1
Vika_3,3,2,2,3,3,3,3,4,2,1,1,3,3,4,3,4,4,3,4,4,1,3,0,4,3,4,4,1,0,1,1
Werner_3,2,0,1,0,2,4,3,1,0,0,2,2,1,2,3,1,4,3,1,1,1,0,1,0,1,3,0,3,2,0,0
Xin_3,0,4,0,3,4,1,0,1,2,1,0,1,0,0,4,3,1,1,3,1,4,2,3,3,2,3,0,2,0,1,0
Lena_3,0,0,4,1,4,1,0,3,3,3,4,2,4,4,2,1,3,1,2,0,4,3,1,1,3,4,0,1,3,1,1
Marc_3,4,4,0,3,3,2,3,3,1,0,2,3,1,2,0,0,0,2,4,2,0,1,2,1,4,0,0,1,4,0,0
Nina_3,2,1,4,1,0,1,2,0,4,4,0,4,3,0,0,2,0,2,0,2,2,3,4,1,2,3,2,1,0,2,1
Otto_3,3,4,0,4,1,0,4,3,3,4,0,2,1,1,3,0,0,1,1,1,1,4,4,4,4,2,3,1,2,2,0
Petra_3,2,4,3,0,3,1,1,4,4,0,1,4,3,0,0,1,2,4,0,3,0,3,2,1,2,1,0,2,4,2,1
Ralf_3,2,0,0,1,3,2,3,2,3,1,0,4,3,0,2,2,3,3,4,1,3,2,4,4,2,2,0,3,4,3,0
Silke_3,2,0,4,0,1,4,0,1,0,2,3,1,4,3,0,1,3,3,0,2,3,3,4,3,0,0,1,0,3,3,1
Tobias_3,1,3,2,0,2,2,4,3,1,3,0,2,3,0,4,1,3,1,1,2,4,0,4,3,0,2,3,3,1,0,1
Ursula_3,1,0,3,2,2,1,0,1,0,2,3,0,2,3,3,4,1,2,1,0,0,3,2,2,1,1,2,3,3,3,1
Viktor_3,4,1,3,2,4,3,0,4,4,1,0,4,4,1,2,2,0,1,3,1,3,2,0,3,2,4,0,3,1,3,1
Wendy_3,4,0,0,1,1,3,4,1,4,3,1,2,1,1,4,0,2,2,0,2,2,4,0,3,3,3,3,2,2,4,0
Axel_3,3,4,2,0,1,3,3,2,1,4,4,1,4,3,3,2,3,2,4,0,0,0,0,0,4,3,0,3,4,4,1
Bettina_3,0,3,4,4,0,2,3,1,1,3,4,3,0,1,3,0,2,3,3,3,0,2,1,4,2,2,2,2,3,1,1
Christoph_3,0,3,0,0,0,1,2,4,4,2,2,1,4,3,1,4,3,1,4,3,0,4,3,1,3,1,3,2,4,1,0
Dana_3,3,1,0,1,4,0,4,3,2,4,1,2,1,0,0,0,3,0,4,1,0,4,4,0,4,3,0,1,3,2,0
Erika_3,1,1,1,2,1,4,1,3,2,0,2,0,1,0,4,0,0,3,4,0,0,1,2,2,1,0,0,3,2,1,0
Franz_3,3,0,3,0,3,0,3,0,1,3,3,2,3,1,1,2,0,1,4,4,0,0,2,2,3,4,4,4,0,1,1
Gudrun_3,4,2,0,1,4,0,4,0,4,4,1,1,2,0,1,0,2,1,1,0,1,2,2,3,1,0,2,4,2,3,0
Heinz_3,3,3,4,3,1,2,1,1,2,3,0,4,4,2,1,1,3,3,3,3,4,2,2,4,0,4,3,3,1,4,1
Irene_3,2,2,0,3,1,0,4,2,4,3,2,4,4,2,3,0,0,1,2,3,1,2,1,0,1,2,2,1,2,0,0
Jürgen_3,0,2,0,2,1,3,4,2,1,4,0,3,2,4,1,4,1,0,4,2,4,0,4,3,3,2,2,1,1,0,0
Klara_3,3,3,0,2,3,0,0,3,1,4,2,4,3,1,4,0,2,0,4,0,3,2,1,3,0,4,4,0,2,0,0
Lukas_3,0,3,0,3,2,2,2,2,3,0,4,2,3,4,0,3,2,3,3,0,2,4,0,0,1,0,0,1,0,2,0
Monika_3,3,1,1,0,1,2,4,0,0,2,0,0,0,2,0,2,2,4,3,2,1,1,4,3,0,1,2,1,4,3,0
Norbert_3,3,0,4,4,1,4,3,3,2,2,3,1,0,2,2,0,2,4,1,1,0,0,3,0,1,0,1,3,3,1,1
Petra_3,3,0,2,1,4,4,4,2,2,3,1,4,0,1,1,2,3,3,4,4,1,3,1,0,2,3,1,2,4,0,1
Rainer_3,1,3,0,0,1,0,3,1,2,0,3,4,3,2,2,0,4,0,2,3,1,1,3,4,3,4,2,0,3,2,0
Sandra_3,2,0,0,3,3,1,2,1,3,1,4,2,4,4,3,4,3,0,0,1,0,1,0,0,0,4,2,1,0,4,0
Thomas_3,0,2,1,4,3,3,3,0,1,2,3,1,1,1,2,2,4,2,0,0,1,4,4,3,2,1,1,2,0,1,0
Uschi_3,1,2,3,1,0,3,3,2,0,1,2,0,1,0,4,2,3,4,0,3,1,3,0,0,0,4,2,1,4,4,1
Valentin_3,1,1,0,0,2,2,3,3,2,4,2,3,2,2,3,0,2,2,2,4,4,3,0,2,4,0,1,3,1,1,0
Willi_3,2,3,0,1,4,3,2,1,0,1,3,0,2,4,3,4,1,2,2,2,3,4,3,2,2,1,0,4,4,2,0
